size_low_pass,size_notch,Volume,Entropy
4.6,2.0,193.86680288872643,818.0499983727414
4.6,2.2,198.69573601326297,823.9851435773303
4.6,2.4,198.92116857059096,825.2829354493779
4.6,2.6,192.91466045636514,822.3083661268305
4.6,2.8,201.55530106022906,828.3094373982944
4.6,3.0,199.2919512845759,822.6645727238457
4.6,3.2,197.047069049018,821.8991279345178
4.6,3.4,187.86631736559434,813.5438514260322
4.6,3.6,193.58411911718576,819.4752576424213
4.6,3.8,195.88503202133842,820.6637175254539
4.6,4.0,195.61956488788326,821.4652949335056
4.6,4.2,194.76052367821993,820.5403491303119
4.6,4.4,196.93045237425,822.7012495854038
4.6,4.6,202.35456681202703,827.3100810055607
4.6,4.8,198.7572691652821,823.5195651404878
4.6,5.0,191.04492922475814,817.4612783893908
4.8,0.2,0.0,-0.0
4.8,0.4,222.3961151813886,863.4143732993223
4.8,0.6,219.11580992066445,858.5398475743974
4.8,0.8,212.62753936688136,846.7258515159629
4.8,1.0,206.9863227944058,836.5172298178759
4.8,1.2,204.0178465423282,831.400915258415
4.8,1.4,201.17155209895938,826.846374872428
4.8,1.6,198.64186140427603,823.8378386776166
4.8,1.8,190.80526517417366,818.198940348625
4.8,2.0,193.21837976564063,819.146291936418
4.8,2.2,196.04160197441703,821.8596535005508
4.8,2.4,193.75384998825342,819.9451462468131
4.8,2.6,188.43041617102597,819.1183763650109
4.8,2.8,196.5963319754343,823.872042802808
4.8,3.0,194.62310805452475,820.5074646900609
