m1,m2,Volume,Entropy
1.0,19.5,196.17970606374035,856.2943384805857
1.0,20.0,194.7743868635206,855.3348135803219
1.5,0.5,286.28051679344435,942.7796904195284
1.5,1.0,295.52727850863994,946.8218989614936
1.5,1.5,295.9597033931182,944.9007509397914
1.5,2.0,293.1192194980702,941.5559863076008
1.5,2.5,289.02537486634964,937.8488005127344
1.5,3.0,284.4858813046762,934.119889860084
1.5,3.5,279.8539275402448,930.4931887165504
1.5,4.0,275.29203655593,927.0132779206474
1.5,4.5,270.8752988329843,923.6926074620708
1.5,5.0,266.6360784356796,920.5300689046132
1.5,5.5,262.58500167046566,917.5189335011734
1.5,6.0,258.7214447497221,914.650397710482
1.5,6.5,255.0390243890996,911.915186055564
1.5,7.0,251.5285676099296,909.3042820494124
1.5,7.5,248.179749143016,906.8092242068236
1.5,8.0,244.98199839090336,904.4222044653771
1.5,8.5,241.9249948740642,902.1360806948588
1.5,9.0,238.99892750359524,899.944335809511
1.5,9.5,236.1946170067596,897.8410302894976
1.5,10.0,233.50355909974928,895.820746524682
1.5,10.5,230.9179223824273,893.8785361662585
1.5,11.0,228.43052122048732,892.0098711449194
1.5,11.5,226.03477576003996,890.2105985105724
1.5,12.0,223.72466633337837,888.4769045273121
1.5,12.5,221.49468654098868,886.8052767007546
1.5,13.0,219.33979747259303,885.1924752181087
1.5,13.5,217.2553844110035,883.6355058134789
1.5,14.0,215.2372166778238,882.1315972176583
1.5,14.5,213.2814108656036,880.678177706009
1.5,15.0,211.38439745557892,879.2728603456059
1.5,15.5,209.54289068035445,877.913422864494
1.5,16.0,207.7538614169926,876.5977928060591
1.5,16.5,206.01451286273743,875.3240395934931
1.5,17.0,204.3222587370268,874.09035665071
1.5,17.5,202.67470375937836,872.8950524705008
1.5,18.0,201.06962616673945,871.736543746256
1.5,18.5,199.50496205194784,870.6133445030783
1.5,19.0,197.97879132454992,869.5240584214503
1.5,19.5,196.4893251148941,868.4673728042849
1.5,20.0,195.03489446125425,867.4420513609114
2.0,0.5,275.34792483110755,946.5087263303895
2.0,1.0,286.2719425385654,953.1952364907274
2.0,1.5,289.17213718604023,953.0846464469998
2.0,2.0,288.2653165701837,950.9812233425478
2.0,2.5,285.54556583551926,948.1741494314924
2.0,3.0,281.9610227470396,945.1225298000328
2.0,3.5,277.9873072368975,942.019340752986
2.0,4.0,273.8748996600847,938.9524427133334
2.0,4.5,269.75997322979185,935.962655282268
2.0,5.0,265.71737789778155,933.0681404798332
2.0,5.5,261.7876082871685,930.2756745981072
2.0,6.0,257.9912934896132,927.5862043419812
2.0,6.5,254.33733949552132,924.99770547346
2.0,7.0,250.8276732454597,922.5066965522558
2.0,7.5,247.4600858849908,920.1090461498652
2.0,8.0,244.22997296995507,917.8004114993296
2.0,8.5,241.1314146789269,915.5764650736804
2.0,9.0,238.1578511572039,913.433018540276
2.0,9.5,235.30250453185172,911.3660777032246
2.0,10.0,232.5586400149629,909.371867547045
2.0,10.5,229.91972371622705,907.4468351162986
2.0,11.0,227.3795137518552,905.5876482295312
2.0,11.5,224.9321082248112,903.7911807489292
2.0,12.0,222.57196544119824,902.054504067325
2.0,12.5,220.2939064601674,900.3748711292104
2.0,13.0,218.09310664778627,898.7497079648894
2.0,13.5,215.9650806502493,897.1765981620141
2.0,14.0,213.90566370441343,895.6532722558547
2.0,14.5,211.91099120250036,894.1775976063171
2.0,15.0,209.97747775537036,892.7475679914105
2.0,15.5,208.10179654600896,891.361295867404
2.0,16.0,206.2808594600656,890.0170017101374
2.0,16.5,204.51179827568643,888.7130085962752
2.0,17.0,202.79194705846447,887.4477335843249
2.0,17.5,201.1188258173833,886.2196821567886
2.0,18.0,199.49012541944165,885.027442250559
2.0,18.5,197.903693724062,883.869677904148
2.0,19.0,196.357522876514,882.7451236790258
2.0,19.5,194.84973768761571,881.6525842709176
2.0,20.0,193.3785850216256,880.5909222032167
2.5,0.5,261.84213452253937,950.1307943075254
2.5,1.0,273.197668997256,958.5961290771492
2.5,1.5,277.78139173277515,959.9607179123832
2.5,2.0,278.5629186346804,958.9557921700856
2.5,2.5,277.2565889883887,957.006203999313
2.5,3.0,274.7991608245494,954.6467208732588
2.5,3.5,271.7117873793113,952.1148667990012
2.5,4.0,268.2942823722909,949.527641875894
2.5,4.5,264.72446700105706,946.946070949689
2.5,5.0,261.1101324057808,944.4027610327646
2.5,5.5,257.5173386678807,941.9150495849668
2.5,6.0,253.986488293472,939.4917697779296
2.5,6.5,250.541814549872,937.1369114104888
2.5,7.0,247.1971738825424,934.8516725699518
2.5,7.5,243.959684051377,932.6356450563478
2.5,8.0,240.83206352877545,930.4875085437068
2.5,8.5,237.814164495296,928.4054405243336
2.5,9.0,234.9039922272356,926.3873598280992
2.5,9.5,232.09839020220795,924.4310758117324
2.5,10.0,229.39350365300257,922.5343709046176
2.5,10.5,226.78509407315696,920.6950524116104
2.5,11.0,224.2687522392944,918.91098452811
2.5,11.5,221.8400414909572,917.1800997935924
2.5,12.0,219.4945927579556,915.5004094494934
2.5,12.5,217.22816606308925,913.8700070732688
2.5,13.0,215.03668869575708,912.2870671587972
2.5,13.5,212.91627717197744,910.7498453412557
2.5,14.0,210.86324797827547,909.2566756571584
2.5,14.5,208.87412062549487,907.8059667981656
2.5,15.0,206.9456155075817,906.3961998590742
2.5,15.5,205.07464833279133,905.0259247772524
2.5,16.0,203.2583223782604,903.6937577388894
2.5,16.5,201.4939194505432,902.3983778160472
2.5,17.0,199.77889017113512,901.1385231210668
2.5,17.5,198.110844016974,899.9129898239092
2.5,18.0,196.48753941023543,898.7206264432281
2.5,18.5,194.9068740543892,897.560334788112
2.5,19.0,193.36687564379704,896.4310641801382
2.5,19.5,191.86569302443505,895.3318107921305
2.5,20.0,190.4015878481357,894.2616150136065
3.0,0.5,247.6844160691852,954.1856865133466
3.0,1.0,258.869897759286,963.8243306238286
3.0,1.5,264.4770454111421,966.3448532615602
3.0,2.0,266.5502615514959,966.2429931344296
3.0,2.5,266.46963172364326,965.0242069686892
3.0,3.0,265.08220490261056,963.277704035087
3.0,3.5,262.90156632670323,961.2716262972972
3.0,4.0,260.2441406006768,959.1422416688432
3.0,4.5,257.3093515206243,956.963951972582
