m1,m2,Volume,Entropy
1.0,7.5,231.0883112832014,867.5347714534539
1.0,8.0,228.81424264500592,864.959434654441
1.0,8.5,226.61748966180315,862.4707272179346
1.0,9.0,224.4937870625751,860.0626644162883
1.0,9.5,222.4390701736948,857.7298530921664
1.0,10.0,220.44949978258842,855.467430447448
1.0,10.5,218.52146997652895,853.2710041101221
1.0,11.0,216.65160598276492,851.136596566923
1.0,11.5,214.83675627299647,849.0605964346419
1.0,12.0,213.07398154192626,847.0397179193457
1.0,12.5,211.36054216418134,845.0709592876267
1.0,13.0,209.69388511394408,843.1515731297758
1.0,13.5,208.07163094499995,841.2790389861827
1.0,14.0,206.49156118573194,839.4510367551258
1.0,14.5,204.9516063497661,837.6654274584695
1.0,15.0,203.44983466554288,835.9202295663418
1.0,15.5,201.98444156655344,834.2136090908409
1.0,16.0,200.5537399455503,832.5438606462271
1.0,16.5,199.1561511525216,830.9093984485031
1.0,17.0,197.79019670239796,829.3087420022447
1.0,17.5,196.4544906509363,827.7405083657969
1.0,18.0,195.14773259376173,826.2034019533049
1.0,18.5,193.86870124271493,824.6962090470879
1.0,19.0,192.61624853444758,823.2177889762257
1.0,19.5,191.3892942280104,821.7670689214391
1.0,20.0,190.18682095056064,820.3430393335852
1.5,0.5,264.26556543871294,917.8497780948669
1.5,1.0,266.29044142842565,920.1099376452106
1.5,1.5,266.0534554754867,919.1634291491249
1.5,2.0,264.5645699143093,916.902481738316
1.5,2.5,262.3959849118537,914.0807139096031
1.5,3.0,259.8652983611149,911.0280350190275
1.5,3.5,257.1522699126984,907.9019390327527
1.5,4.0,254.36132165015718,904.7818108587446
1.5,4.5,251.55449720576541,901.708582097933
1.5,5.0,248.76919708250537,898.7030976538666
1.5,5.5,246.02803425705872,895.7752710924676
1.5,6.0,243.34450245207995,892.9289074631906
1.5,6.5,240.7263441327643,890.1643716739445
1.5,7.0,238.1776114997585,887.4800972857562
1.5,7.5,235.69996083801107,884.8734691456475
1.5,8.0,233.29348390890502,882.3413472710481
1.5,8.5,230.9572523499482,879.8803730430864
1.5,9.0,228.68967993730826,877.4871563779637
1.5,9.5,226.4887668069439,875.1583807449746
1.5,10.0,224.35226573212907,872.8908619053445
1.5,10.5,222.2777960752892,870.6815803299335
1.5,11.0,220.26292209732063,868.5276943286115
1.5,11.5,218.30520668022783,866.4265398792031
1.5,12.0,216.40224790724946,864.3756279196093
1.5,12.5,214.5517035860305,862.3726344148414
1.5,13.0,212.75130723507453,860.4153934477182
1.5,13.5,210.99887799923536,858.5018818524213
1.5,14.0,209.29232623968616,856.6302125752143
1.5,14.5,207.62965604538155,854.7986207062715
1.5,15.0,206.008965563954,853.0054572478181
1.5,15.5,204.428445802826,851.2491763220554
1.5,16.0,202.88637837451955,849.5283293962876
1.5,16.5,201.38113253253152,847.8415549637665
1.5,17.0,199.91116175126294,846.1875734376652
1.5,17.5,198.47500003541705,844.5651789736919
1.5,18.0,197.07125809407827,842.9732353869715
1.5,18.5,195.69861947747543,841.4106698430201
1.5,19.0,194.35583674675127,839.8764667072321
1.5,19.5,193.0417277264128,838.3696654870129
1.5,20.0,191.75517187371065,836.8893561444836
2.0,0.5,257.0786463788476,923.59570028476
2.0,1.0,259.36201288615155,926.7099482072965
2.0,1.5,259.9070903565167,926.9984602283583
2.0,2.0,259.30733259168676,925.8820849025653
2.0,2.5,257.97141528963755,924.0413988811247
2.0,3.0,256.1657142565208,921.8159145450752
