ThetaIncident,SineRatio,Power1,Power2,volume,volume_a,total,total_a,,measure,entropy
36,0.3,2,1,455,457,123,128,5045,31,2260
36,0.3,2,2,492,474,114,122,5432,40,2382
36,0.4,0.5,0.5,369,451,152,128,3959,11,1778
36,0.4,0.5,1,387,466,145,125,4157,12,1851
36,0.4,0.5,2,393,436,144,137,4190,10,1842
36,0.4,1,0.5,419,466,134,125,4604,30,2074
36,0.4,1,1,451,481,124,120,4947,32,2191
36,0.4,1,2,441,457,127,128,4787,22,2102
36,0.4,2,0.5,417,436,135,137,4610,24,2094
36,0.4,2,1,456,457,123,128,5060,31,2268
36,0.4,2,2,494,474,113,122,5471,29,2407
36,0.5,0.5,0.5,374,451,151,128,4021,12,1805
36,0.5,0.5,1,396,466,143,125,4260,15,1891
36,0.5,0.5,2,399,436,143,137,4279,14,1889
36,0.5,1,0.5,422,466,133,125,4637,30,2086
36,0.5,1,1,458,481,123,120,5031,25,2225
36,0.5,1,2,449,457,126,128,4892,23,2150
36,0.5,2,0.5,418,436,135,137,4620,24,2097
36,0.5,2,1,459,457,122,128,5097,32,2284
36,0.5,2,2,502,474,112,122,5564,36,2442
36,0.6,0.5,0.5,378,451,148,128,4071,11,1828
36,0.6,0.5,1,401,466,140,125,4329,19,1925
36,0.6,0.5,2,402,436,141,137,4338,13,1927
36,0.6,1,0.5,424,466,132,125,4658,31,2093
36,0.6,1,1,460,481,121,120,5067,29,2247
36,0.6,1,2,451,457,124,128,4928,22,2172
36,0.6,2,0.5,418,436,135,137,4626,25,2103
36,0.6,2,1,461,457,121,128,5110,32,2283
36,0.6,2,2,503,474,111,122,5579,42,2450
36,0.7,0.5,0.5,384,451,145,128,4138,16,1853
36,0.7,0.5,1,408,466,136,125,4425,16,1972
36,0.7,0.5,2,406,436,138,137,4407,17,1968
36,0.7,1,0.5,426,466,131,125,4685,31,2106
36,0.7,1,1,465,481,119,120,5125,30,2269
36,0.7,1,2,455,457,122,128,4988,28,2203
36,0.7,2,0.5,419,436,134,137,4631,25,2101
36,0.7,2,1,462,457,120,128,5130,33,2295
36,0.7,2,2,506,474,109,122,5619,42,2468
36,0.8,0.5,0.5,388,451,142,128,4189,18,1876
36,0.8,0.5,1,414,466,133,125,4501,23,2006
36,0.8,0.5,2,409,436,136,137,4466,25,2006
36,0.8,1,0.5,426,466,129,125,4683,32,2104
36,0.8,1,1,465,481,117,120,5132,31,2276
36,0.8,1,2,455,457,120,128,5006,25,2221
36,0.8,2,0.5,418,436,133,137,4620,25,2097
36,0.8,2,1,460,457,119,128,5102,33,2282
36,0.8,2,2,504,474,108,122,5588,43,2452
36,0.9,0.5,0.5,388,451,139,128,4201,15,1888
36,0.9,0.5,1,414,466,130,125,4529,26,2034
