ThetaIncident,SineRatio,Power1,Power2,volume,analytical volume,entropy
45,0.8,2,2,507,474,5713
45,0.9,0.5,0.5,418,451,4625
45,0.9,0.5,1,441,466,4910
45,0.9,0.5,2,423,436,4711
45,0.9,1,0.5,448,466,5027
45,0.9,1,1,484,481,5433
45,0.9,1,2,466,457,5213
45,0.9,2,0.5,428,436,4801
45,0.9,2,1,468,457,5267
45,0.9,2,2,509,474,5725
45,1,0.5,0.5,411,445,4591
45,1,0.5,1,412,436,4613
45,1,0.5,2,405,418,4529
45,1,1,0.5,412,436,4613
45,1,1,1,408,426,4568
45,1,1,2,403,414,4502
45,1,2,0.5,405,418,4529
45,1,2,1,403,414,4502
45,1,2,2,400,409,4469
54,0.1,0.5,0.5,376,451,4150
54,0.1,0.5,1,368,466,3992
54,0.1,0.5,2,369,436,3908
54,0.1,1,0.5,434,466,4930
54,0.1,1,1,430,481,4840
54,0.1,1,2,407,457,4445
54,0.1,2,0.5,425,436,4841
54,0.1,2,1,443,457,5059
54,0.1,2,2,453,474,5124
54,0.2,0.5,0.5,378,451,4182
54,0.2,0.5,1,375,466,4078
54,0.2,0.5,2,379,436,4048
54,0.2,1,0.5,435,466,4949
54,0.2,1,1,435,481,4903
54,0.2,1,2,415,457,4566
54,0.2,2,0.5,426,436,4848
54,0.2,2,1,445,457,5085
54,0.2,2,2,459,474,5204
54,0.3,0.5,0.5,382,451,4230
54,0.3,0.5,1,382,466,4170
54,0.3,0.5,2,387,436,4157
54,0.3,1,0.5,437,466,4970
54,0.3,1,1,439,481,4961
54,0.3,1,2,422,457,4665
54,0.3,2,0.5,426,436,4853
54,0.3,2,1,446,457,5103
54,0.3,2,2,463,474,5261
54,0.4,0.5,0.5,388,451,4299
54,0.4,0.5,1,390,466,4278
54,0.4,0.5,2,393,436,4252
54,0.4,1,0.5,439,466,5002
54,0.4,1,1,445,481,5030
54,0.4,1,2,428,457,4748
54,0.4,2,0.5,427,436,4861
54,0.4,2,1,449,457,5129
54,0.4,2,2,467,474,5318
54,0.5,0.5,0.5,397,451,4409
54,0.5,0.5,1,403,466,4439
54,0.5,0.5,2,401,436,4378
54,0.5,1,0.5,444,466,5057
54,0.5,1,1,455,481,5151
54,0.5,1,2,438,457,4879
54,0.5,2,0.5,428,436,4878
54,0.5,2,1,453,457,5184
54,0.5,2,2,476,474,5428
54,0.6,0.5,0.5,406,451,4514
54,0.6,0.5,1,414,466,4583
54,0.6,0.5,2,406,436,4472
54,0.6,1,0.5,448,466,5103
54,0.6,1,1,461,481,5239
54,0.6,1,2,443,457,4959
54,0.6,2,0.5,429,436,4890
54,0.6,2,1,456,457,5219
54,0.6,2,2,481,474,5486
54,0.7,0.5,0.5,416,451,4652
54,0.7,0.5,1,428,466,4773
54,0.7,0.5,2,414,436,4596
54,0.7,1,0.5,454,466,5173
54,0.7,1,1,473,481,5380
54,0.7,1,2,452,457,5090
54,0.7,2,0.5,431,436,4911
54,0.7,2,1,462,457,5285
54,0.7,2,2,491,474,5604
54,0.8,0.5,0.5,429,451,4813
54,0.8,0.5,1,444,466,4996
54,0.8,0.5,2,424,436,4740
54,0.8,1,0.5,461,466,5263
54,0.8,1,1,488,481,5562
54,0.8,1,2,465,457,5257
54,0.8,2,0.5,434,436,4943
54,0.8,2,1,471,457,5382
54,0.8,2,2,506,474,5775
54,0.9,0.5,0.5,441,451,4977
54,0.9,0.5,1,461,466,5219
54,0.9,0.5,2,432,436,4872
54,0.9,1,0.5,469,466,5354
54,0.9,1,1,503,481,5748
54,0.9,1,2,478,457,5418
54,0.9,2,0.5,438,436,4975
54,0.9,2,1,481,457,5481
54,0.9,2,2,522,474,5950
54,1,0.5,0.5,429,445,4885
54,1,0.5,1,424,436,4821
54,1,0.5,2,410,418,4639
54,1,1,0.5,424,436,4821
54,1,1,1,416,426,4715
54,1,1,2,406,414,4587
54,1,2,0.5,410,418,4639
54,1,2,1,406,414,4587
54,1,2,2,402,409,4527
63,0.1,0.5,0.5,379,451,4246
63,0.1,0.5,1,369,466,4036
63,0.1,0.5,2,371,436,3943
63,0.1,1,0.5,437,466,5045
63,0.1,1,1,429,481,4892
63,0.1,1,2,405,457,4474
63,0.1,2,0.5,426,436,4904
63,0.1,2,1,441,457,5097
63,0.1,2,2,448,474,5133
63,0.2,0.5,0.5,381,451,4276
63,0.2,0.5,1,374,466,4119
63,0.2,0.5,2,380,436,4078
63,0.2,1,0.5,438,466,5058
63,0.2,1,1,432,481,4942
63,0.2,1,2,413,457,4583
63,0.2,2,0.5,426,436,4906
63,0.2,2,1,441,457,5110
63,0.2,2,2,452,474,5191
63,0.3,0.5,0.5,386,451,4328
63,0.3,0.5,1,382,466,4213
63,0.3,0.5,2,386,436,4182
63,0.3,1,0.5,440,466,5080
63,0.3,1,1,436,481,4999
63,0.3,1,2,418,457,4673
63,0.3,2,0.5,426,436,4911
63,0.3,2,1,443,457,5127
63,0.3,2,2,455,474,5242
63,0.4,0.5,0.5,393,451,4413
63,0.4,0.5,1,392,466,4340
63,0.4,0.5,2,393,436,4289
63,0.4,1,0.5,443,466,5114
63,0.4,1,1,442,481,5072
63,0.4,1,2,424,457,4761
63,0.4,2,0.5,427,436,4918
63,0.4,2,1,445,457,5149
63,0.4,2,2,459,474,5291
63,0.5,0.5,0.5,402,451,4521
63,0.5,0.5,1,404,466,4497
63,0.5,0.5,2,400,436,4407
63,0.5,1,0.5,446,466,5159
63,0.5,1,1,450,481,5167
63,0.5,1,2,431,457,4864
63,0.5,2,0.5,428,436,4928
63,0.5,2,1,447,457,5181
63,0.5,2,2,464,474,5359
63,0.6,0.5,0.5,412,451,4653
63,0.6,0.5,1,417,466,4676
63,0.6,0.5,2,408,436,4525
63,0.6,1,0.5,451,466,5217
